Band,Wavelength,RSR
B1,427,7.3E-05
B1,428,0.000609
B1,429,0.001628
B1,430,0.003421
B1,431,0.008019
B1,432,0.024767
B1,433,0.085688
B1,434,0.254149
B1,435,0.517821
B1,436,0.765117
B1,437,0.908749
B1,438,0.958204
B1,439,0.977393
B1,440,0.98379
B1,441,0.989052
B1,442,0.986713
B1,443,0.993683
B1,444,0.993137
B1,445,1
B1,446,0.996969
B1,447,0.98278
B1,448,0.972692
B1,449,0.905808
B1,450,0.745606
B1,451,0.471329
B1,452,0.226412
B1,453,0.09286
B1,454,0.036603
B1,455,0.014537
B1,456,0.005829
B1,457,0.002414
B1,458,0.000984
B1,459,0.000255
B2,436,1E-05
B2,437,6.1E-05
B2,438,0.000117
B2,439,0.000241
B2,440,0.000349
B2,441,0.000455
B2,442,0.000756
B2,443,0.001197
B2,444,0.00207
B2,445,0.003712
B2,446,0.006869
B2,447,0.013212
B2,448,0.02717
B2,449,0.058606
B2,450,0.130876
B2,451,0.27137
B2,452,0.493542
B2,453,0.723971
B2,454,0.85751
B2,455,0.894222
B2,456,0.903034
B2,457,0.910928
B2,458,0.90988
B2,459,0.899475
B2,460,0.897977
B2,461,0.889667
B2,462,0.883542
B2,463,0.877453
B2,464,0.881011
B2,465,0.874721
B2,466,0.879688
B2,467,0.886569
B2,468,0.891913
B2,469,0.88768
B2,470,0.861157
B2,471,0.848533
B2,472,0.840828
B2,473,0.828339
B2,474,0.844202
B2,475,0.865864
B2,476,0.868497
B2,477,0.890253
B2,478,0.912538
B2,479,0.910385
B2,480,0.918822
B2,481,0.931726
B2,482,0.931813
B2,483,0.954248
B2,484,0.955545
B2,485,0.96242
B2,486,0.956424
B2,487,0.953352
B2,488,0.978564
B2,489,0.989104
B2,490,0.985615
B2,491,0.989469
B2,492,0.982262
B2,493,0.968801
B2,494,0.967332
B2,495,0.976836
B2,496,0.988729
B2,497,0.980826
B2,498,0.967361
B2,499,0.954754
B2,500,0.964132
B2,501,0.966125
B2,502,0.966772
B2,503,0.981834
B2,504,0.98232
B2,505,0.965685
B2,506,0.963135
B2,507,0.972261
B2,508,0.996498
B2,509,1
B2,510,0.9556
B2,511,0.844893
B2,512,0.534592
B2,513,0.190738
B2,514,0.048329
B2,515,0.013894
B2,516,0.005328
B2,517,0.002611
B2,518,0.001557
B2,519,0.0011
B2,520,0.000785
B2,521,0.000516
B2,522,0.000321
B2,523,0.000162
B2,524,7.2E-05
B2,525,5.7E-05
B2,526,2.3E-05
B2,527,3.2E-05
B2,528,-1.6E-05
B3,512,-4.6E-05
B3,513,1.6E-05
B3,514,0.00011
B3,515,0.000247
B3,516,0.000362
B3,517,0.000648
B3,518,0.000935
B3,519,0.001332
B3,520,0.001816
B3,521,0.002515
B3,522,0.003446
B3,523,0.00488
B3,524,0.007024
B3,525,0.010441
B3,526,0.016247
B3,527,0.025513
B3,528,0.041451
B3,529,0.070551
B3,530,0.123444
B3,531,0.21168
B3,532,0.353885
B3,533,0.545856
B3,534,0.741205
B3,535,0.865225
B3,536,0.927396
B3,537,0.954627
B3,538,0.954163
B3,539,0.959215
B3,540,0.961328
B3,541,0.964902
B3,542,0.969873
B3,543,0.952489
B3,544,0.961397
B3,545,0.97827
B3,546,0.977533
B3,547,0.977001
B3,548,0.980884
B3,549,0.990784
B3,550,1
B3,551,0.992264
B3,552,0.982642
B3,553,0.983832
B3,554,0.977765
B3,555,0.965081
B3,556,0.957314
B3,557,0.946245
B3,558,0.947871
B3,559,0.959038
B3,560,0.966534
B3,561,0.977656
B3,562,0.966447
B3,563,0.953399
B3,564,0.958314
B3,565,0.970039
B3,566,0.978607
B3,567,0.983397
B3,568,0.98096
B3,569,0.974522
B3,570,0.967229
B3,571,0.979406
B3,572,0.978208
B3,573,0.975818
B3,574,0.974392
B3,575,0.979973
B3,576,0.968827
B3,577,0.969181
B3,578,0.967838
B3,579,0.982956
B3,580,0.979598
B3,581,0.963811
B3,582,0.968886
B3,583,0.983655
B3,584,0.986657
B3,585,0.974207
B3,586,0.946407
B3,587,0.904478
B3,588,0.809275
B3,589,0.684974
B3,590,0.525304
B3,591,0.345364
B3,592,0.190467
B3,593,0.087833
B3,594,0.035393
B3,595,0.014077
B3,596,0.005944
B3,597,0.002574
B3,598,0.001046
B3,599,0.000394
B3,600,8.5E-05
B3,601,-8.4E-05
B3,602,-0.000194
B3,603,-0.000234
B3,604,-0.000292
B3,605,-0.000307
B3,606,-0.000343
B3,607,-0.000348
B3,608,-0.000329
B3,609,-0.000351
B3,610,-0.000317
B4,625,-0.000342
B4,626,0.00027
B4,627,0.000895
B4,628,0.00185
B4,629,0.003648
B4,630,0.007197
B4,631,0.014515
B4,632,0.030432
B4,633,0.066861
B4,634,0.148518
B4,635,0.299778
B4,636,0.526812
B4,637,0.764443
B4,638,0.905473
B4,639,0.947949
B4,640,0.950823
B4,641,0.947418
B4,642,0.951831
B4,643,0.962705
B4,644,0.975075
B4,645,0.984173
B4,646,0.983613
B4,647,0.983434
B4,648,0.982911
B4,649,0.973636
